File_Name,Internal_Sample_Name,type,r2r_event,Cruise,Depth (m),Amount Filtered (L),Niskin Bottle,Dmix Concentration,Lat,Lon,Cast
QE014818.mzXML,SG2105_30,CTD,20210511.2017.001,SG2105,1000,1,3,10x,49.0052,-15.0265,8
QE014819.mzXML,SG2105_41,CTD,20210513.1415.001,SG2105,500,2,6,10x,49.1033,-14.7485,10
QE014820.mzXML,SG2105_42,CTD,20210513.1415.001,SG2105,1000,2,3,10x,49.1033,-14.7485,10
QE014822.mzXML,EXPORTS2_PQC_62,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014823.mzXML,SG2105_18,CTD,20210507.1435.001,SG2105,1000,1,3,10x,48.9215,-14.9568,6
QE014824.mzXML,SG2105_12,CTD,20210507.0144.001,SG2105,1000,2,3,10x,48.965,-14.9412,4
QE014825.mzXML,SG2105_59,CTD,20210518.1819.001,SG2105,1000,2,5,10x,48.9518,-14.806,12
QE014826.mzXML,JC214_25,CTD,jc214-SE-20210507.1426.002,JC214,500,1,1,10x,48.9225,-14.945,12
QE014827.mzXML,JC214_13,CTD,jc214-SE-20210506.1658.001,JC214,500,1,1,10x,48.9155,-14.8012,9
QE014828.mzXML,EXPORTS2_PQC_63,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014829.mzXML,JC214_1,CTD,jc214-SE-20210505.1816.001,JC214,500,1,1,10x,49.01,-14.8665,5
QE014830.mzXML,SG2105_35,CTD,20210512.1111.001,SG2105,750,2,6,10x,49.1063,-14.9967,9
QE014831.mzXML,JC214_61,CTD,jc214-SE-20210514.1404.001,JC214,500,1,1,10x,49.0657,-14.8167,28
QE014832.mzXML,JC214_156,CTD,jc214-SE-20210525.1459.001,JC214,500,1,1,10x,48.8173,-14.7163,53
QE014833.mzXML,JC214_144,CTD,jc214-SE-20210524.1626.001,JC214,500,1,1,10x,48.9065,-14.7887,50
QE014834.mzXML,EXPORTS2_PQC_64,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014835.mzXML,SG2105_36,CTD,20210512.1111.001,SG2105,1000,2,3,10x,49.1063,-14.9967,9
